title,location,size,selling price
5 Bed Townhouse in Athi River,Athi River,5 bedroom house for sale in Athi River (Kenya)...,"KSh 18,500,000"
6 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",Live Like Royalty in this Ambassadorial 6-Bedro...,"KSh 500,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,5 Bedroom Villa for Sale in Lavington.,"KSh 100,000,000"
4 Bed House with En Suite in Karen,Karen,Beautiful 4 Bedroom House for Sale,"KSh 75,000,000"
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",FOR SALE 4 BEDROOMS MASSIONATE NYALI,"KSh 36,000,000"
4 Bed Townhouse with En Suite at Syokimau,"Syokimau, Mombasa Road",Modern Townhouses for Sale in Syokimau,"KSh 19,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3-BEDROOM BUNGALOW, KITENGELA","KSh 6,250,000"
3 Bed House in Ongata Rongai,Ongata Rongai,Three bedrooms for sale rongai limber,"KSh 7,500,000"
5 Bed Villa with En Suite in Spring Valley,"Spring Valley, Westlands",Spring valley 5bedrooms plus servant quarters a...,"KSh 140,000,000"
3 Bed House in Kisauni,Kisauni,3 bedrooms bungalow,"KSh 15,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 bedrooms townhouse for sale in Lavington,"KSh 40,000,000"
4 Bed House with Swimming Pool at Nyali,"Nyali, Nyali Area",4 bedroom villa,"KSh 75,000,000"
4 Bed House in Nyali Area,"Nyali Area, Nyali",Executive 4 bedroom Maisonette for sale,"KSh 35,000,000"
5 Bed House in Nyali Area,"Nyali Area, Nyali",5 Brm Mansion On Sale In A Shared Compound With...,"KSh 30,000,000"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5 bedroom executive house for sale in gigiri,"KSh 230,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Beautiful and Classy 4 bedroom all ensuite town...,"KSh 63,000,000"
5 Bed House with En Suite at Magnolia Estate,"Magnolia estate, Kitisuru, Westlands",Price drop!! Exquisite 5 bedroom house availabl...,"KSh 150,000,000"
4 Bed House in Riverside,"Riverside, Westlands",4 BR Villa for sale,"KSh 60,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3 Bedroom Bungalow for sale in Acacia,Kitengela","KSh 5,800,000"
3 Bed House with En Suite at Acacia,"ACACIA, Kitengela",3 Bedroom Bungalow For Sale in Kitengela,"KSh 6,200,000"
3 Bed House with En Suite at Kimlat,"012, Kimlat, Kitengela",FLAT ROOF EXCUISITE 3- BEDROOM BUNGALOW,"KSh 4,500,000"
5 Bed House with En Suite in Muthaiga,Muthaiga,5 Bedroom Mansion at Muthaiga North,"KSh 120,000,000"
3 Bed House in Ruiru,Ruiru,3 Bedroom all ensuite with DSQ in Juja,"KSh 8,500,000"
5 Bed House with En Suite at Nairobi,"Runda, Nairobi, Westlands","5 bedroom house for sale, Runda, Nairobi","KSh 105,000,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",For Sale 5 Bedrooms Executive Mansion - Old Nya...,"KSh 68,000,000"
3 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",House for Sale,"KSh 25,000,000"
5 Bed Villa with En Suite at Kahawa Sukari,"Kahawa Sukari, Kahawa sukari, Roysambu",Breath taking 5br plus dsq on a 1/4 acre,"KSh 29,900,000"
3 Bed House in Kikambala,Kikambala,3br semi developed house for sale in Kanamai (H...,"KSh 8,500,000"
4 Bed Villa with En Suite in Ngong,Ngong,"4 BEDROOM VILLAS FOR SALE IN NGONG, NAIROBI, K...","KSh 14,500,000"
3 Bed Villa with En Suite in Diani,Diani,FOR SALE 3 BEDROOMS VILLA - DIANI,"KSh 40,000,000"
5 Bed House with En Suite at Eliud Mathu Streets,"890, Eliud Mathu streets, Runda, Westlands",Find tranquility in this luxurious 5 bedroom sm...,"KSh 300,000,000"
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",AN ELEGANT 4 BR VILLA IN FOURWAYS JUNCTION ESTA...,"KSh 31,000,000"
5 Bed House with En Suite in Ruiru,Ruiru,5BR all Ensuite+DSQ Maisonettes for sale at Rui...,"KSh 20,000,000"
3 Bed Townhouse with En Suite at Muigai,"Muigai, Kitengela",3 Bedroom executive villas for sale in Kitengel...,"KSh 12,500,000"
4 Bed Townhouse with Swimming Pool in Lavington,Lavington,Lavington 4bedrooms plus dsq all ensuite and fa...,"KSh 45,000,000"
3 Bed Townhouse with Swimming Pool in Mtwapa,Mtwapa,3Br Townhouses Ongoing project.,"KSh 7,500,000"
5 Bed House in Kitisuru,"Kitisuru, Westlands","Kitisuru, New Villas – FOR SALE","KSh 135,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Imora,"KSh 65,000,000"
3 Bed Townhouse with En Suite in Vipingo,Vipingo,AWALI ESTATE PHASE 2 - MAISONETTES,"KSh 19,950,000"
4 Bed House with En Suite at Two Rivers,"two rivers, Gigiri, Westlands",STATE OF THE ART 4 BEDROOM WITH DSQ DUPLEXES,"KSh 47,000,000"
4 Bed Townhouse with Garden in Lavington,Lavington,Lavington in a well gated community 4bedrooms p...,"KSh 67,000,000"
4 Bed House with En Suite in Thindigua,Thindigua,"House for sale – Off Kiambu Road, Thindigua","KSh 50,000,000"
4 Bed Townhouse with En Suite at Off Kiambu Road,"Off Kiambu Road, Kiambu Town",4 Bedroom with DSQ for Sale,"KSh 26,950,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom townhouse for sale in Runda (Kenya)...,"KSh 80,000,000"
4 Bed Villa with En Suite in Tigoni,"Tigoni, Limuru",EXCLUSIVE 4-BEDROOM VILLAS FOR SALE IN TIGONI F...,"KSh 28,000,000"
5 Bed Villa with En Suite in Diani,Diani,"Kaya-5 bedroom Villas. Fully furnished, service...","KSh 65,000,000"
6 Bed Townhouse with En Suite at Kinoo,"Kinoo, Waiyaki Way, Westlands",6 bedroom townhouse off Waiyaki Way,"KSh 16,000,000"
1 Bed Villa with En Suite in Diani,Diani,A Place of Tranquility - small but mine,"KSh 20,000,000"
4 Bed House at Nairobi,"Oloitokitok road, Kileleshwa, Nairobi","4 bed home, Oloitokitok Road, Kileleshwa, Nairo...","KSh 37,000,000"
7 Bed Villa with En Suite at Naivas Kilifi,"Kilifi centre, Naivas kilifi, Kilifi County","Italian Style twin villa's on sale kilifi,facin...","KSh 110,000,000"
4 Bed Townhouse with En Suite at Kentmere,"Kentmere, Tigoni, Limuru","The Greek Revival,TigonI Kentmare","KSh 50,000,000"
4 Bed House with En Suite in Ongata Rongai,Ongata Rongai,4 BEDROOMS MASIONETTE,"KSh 12,000,000"
4 Bed Villa with En Suite at Mugutha,"mugutha, Ruiru",Stunning 4 Bedrooms Newly Built All En-suite Ma...,"KSh 13,500,000"
6 Bed Villa with En Suite in Runda,"Runda, Westlands",Cosy Six Bedroomed Stand Alone Villa on One Acr...,"KSh 150,000,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","4,5-, and 6-Bedroom Townhouses in Kirawa, Kitis...","KSh 45,000,000"
5 Bed Villa with En Suite in Karen,Karen,KAREN NEW 4 & 5 BEDROOM ALL ENSUITE VILLA + 2 D...,"KSh 90,000,000"
5 Bed Townhouse with En Suite at Gravellia Groove,"Gravellia groove, Westlands Area, Westlands",5 bedrooms townhouse for sale in gravellia Groo...,"KSh 75,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Contemporary 4 Bedroom Townhouse For Sale in La...,"KSh 67,000,000"
5 Bed House with En Suite at Ondiri,"Ondiri, Kikuyu Town, Kikuyu","5 Bedroom House For Sale in Kikuyu, Ondiri.","KSh 16,500,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Lavington 5 bedroom townhouse plus dsq for sale...,"KSh 75,000,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Less Crowded RealEstate! Modern 5 bedroom House...,"KSh 111,000,000"
2 Bed House with En Suite at Oltepesi,"Oltepesi Kajiado County, Oltepesi, Kiserian","Tinga Farm, Oletepesi","KSh 2,700,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5Bedroom Townhouse for Sale in Lavington,"KSh 75,000,000"
4 Bed Townhouse with Swimming Pool in Kitengela,Kitengela,Magnificent 4 bedroom townhouses available for...,"KSh 17,000,000"
4 Bed House with Swimming Pool in Syokimau,Syokimau,4-BEDROOMS MASIONETTE,"KSh 17,000,000"
4 Bed House with En Suite at Gateway Mall,"04, Gateway Mall, Syokimau",Executive 4 Bedroom House all bedroom En-suite...,"KSh 19,000,000"
5 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",CLASSICALLY OVERSIZED 5 BEDROOM MAISONETTE FOR...,"KSh 35,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,"4br Townhouse, Kiambu Road","KSh 32,000,000"
5 Bed House with En Suite at In Kitisuru Estate.,"0728N, in Kitisuru Estate., Kitisuru, Westlands",Exceptional offer for five bedroom residence ne...,"KSh 500,000,000"
4 Bed Villa with En Suite in Brookside,"Brookside, Westlands",Spacious,"KSh 41,000,000"
4 Bed Townhouse with Garden in Loresho,"Loresho, Westlands",NEW & EXLUSIVE 4 BEDROOM TOWNHOUSE,"KSh 35,000,000"
4 Bed Villa with Swimming Pool in Lavington,Lavington,An exclusive new development of modern 4 bedroo...,"KSh 145,000,000"
4 Bed Townhouse with En Suite at Nyahururu Street,"12, nyahururu street, Kahawa Sukari, Roysambu",4 BEDROOM BUNGALOW WITH AN SQ IN KAHAWA SUKARI,"KSh 27,000,000"
4 Bed House with En Suite in Kamakis,"Kamakis, Ruiru","4 BEDROOMS VILLA, KAMAKIS RUIRU.","KSh 21,000,000"
4 Bed Townhouse with En Suite at Njumbi,"Njumbi, Lavington","Lavishly designed 4 bedrooms villas, Family, ga...","KSh 92,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,PALATIAL TOWNHOUSES IN LAVINGTON FOR SALE FROM...,"KSh 68,000,000"
4 Bed House with En Suite in Redhill,Redhill,VILLAS FOR SALE - RED HILL HEIGHTS ESTATE,"KSh 35,000,000"
5 Bed House with En Suite at Oloolua Ridge,"Oloolua Ridge, Karen",5 Bedroom Villa in Karen close to KCB Leadershi...,"KSh 99,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 bedroom townhouse for sale in Lavington (Keny...,"KSh 75,000,000"
4 Bed House with En Suite in Karen,Karen,4 bedroom house for sale in Karen (Kenya) 3KE14...,"KSh 65,000,000"
3 Bed Townhouse with En Suite at Kitengela Near Gmc,"Namanga Road, Kitengela near GMC, Kitengela",Amazing 3 & 4 Bedroom Townhouses For Sale in Ki...,"KSh 10,500,000"
5 Bed House with En Suite in Lavington,Lavington,"5 BEDROOM TOWNHOUSE FOR SALE IN CONVENT DRIVE,...","KSh 72,000,000"
6 Bed Villa with En Suite in Karen,Karen,Exclusive 6 Bedroom Villa in Karen,"KSh 90,000,000"
3 Bed House with En Suite at Shanzu,"shanzu, Shanzu",British type 3 bedroom bungalow on sale at a pr...,"KSh 40,000,000"
3 Bed Townhouse with En Suite at Mtwapa Creek,"Mtwapa Creek, Mtwapa",FOR SALE 3 BEDROOMS EXCUTIVE MANSION - MTWAPA C...,"KSh 70,000,000"
5 Bed House with En Suite at Nairobi,"Lower kabete road, Nairobi, Lower Kabete, Westlands","5 Bed Home for sale, Lower Kabete Road, Nairobi","KSh 145,000,000"
4 Bed House with En Suite at Runda Paradise,"43, Runda Paradise, Runda, Westlands",An Elegant 4 Bedroom For Sale at Runda Paradise...,"KSh 32,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Kiambu Road","4br Townhouse, Kiambu Road","KSh 42,000,000"
6 Bed House with En Suite at Glory Road,"78, Glory Road, Runda, Westlands",This is an elegant and spacious 6-bedroom house...,"KSh 120,000,000"
5 Bed House with En Suite in Karen Hardy,Karen Hardy,6 BEDROOM HOUSE FOR SALE KAREN HARDY,"KSh 120,000,000"
4 Bed House with En Suite at Mombasa Road,"Mombasa Road, Athi River","4bdrm Bungalow in Greenpark Estate, Lukenya for...","KSh 23,000,000"
3 Bed House with En Suite in Kamangu,Kamangu,"3 Bedroom Bungalow House For Sale in Kikuyu, Ka...","KSh 3,700,000"
4 Bed Villa with En Suite in Loresho,"Loresho, Westlands",4 Bedroom Maisonette sitting on 0.56acre for sa...,"KSh 85,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Lavington 5 Bedroom Townhouse plus Dsq for sale...,"KSh 58,000,000"
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",4 bedroom massionatte for sale,"KSh 58,000,000"
4 Bed House with En Suite at Thika Road,"Thika Road, Membley, Ruiru",Spacious and Brand New 4 Bedroom Mansion at Mem...,"KSh 25,000,000"
4 Bed Townhouse with En Suite at Mountain View,"Off waiyaki way, Mountain view, Mountain View, Westlands",4bedroons town house for sale.,"KSh 40,000,000"
4 Bed House with Garden at Phase 5,"PHASE 5, Buruburu",HOUSE ON SALE IN BURU-BURU PHASE 5 @ 13 MILLION,"KSh 13,000,000"
3 Bed House in Diani,Diani,3 bedroom Beach House for Sale in Diani,"KSh 25,000,000"
4 Bed House with En Suite in Kileleshwa,Kileleshwa,4Bedroom House for Sale in Kileleshwa,"KSh 160,000,000"
5 Bed Townhouse with En Suite at Loresho,"Loresho, Hill View, Westlands",Luxurious townhouses for sale in Loresho.,"KSh 120,000,000"
3 Bed House with En Suite at Serena,"Serena, Shanzu",3 Bedrooms with a swimming pool on 1 acre land...,"KSh 35,000,000"
5 Bed House with Garden at Old Muthaiga,"Old Muthaiga, Muthaiga","5 Bed Home for sale, Old Muthaiga, Nairobi","KSh 220,000,000"
3 Bed House with En Suite at Kibokoni Estate,"KIBOKONI ESTATE, Malindi","TWO VILLAS, ON 3/4 ACRE PLOT FOR SALE","KSh 29,000,000"
7 Bed Townhouse with En Suite in Lavington,Lavington,Prestigious and Modern 7 Bedroom ensuite plus D...,"KSh 120,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom Townhouse for Sale in Lavington,"KSh 55,000,000"
4 Bed House with En Suite in Ongata Rongai,Ongata Rongai,Four bedrooms for sale rongai,"KSh 7,500,000"
6 Bed House with En Suite at Mombasa,"Tudor, Mombasa, Mombasa Island","Tudor ocean view,house on sale","KSh 200,000,000"
4 Bed House with En Suite at Vipingo,"Vipingo, Kikambala",4 bedroom for sale,"KSh 70,000,000"
4 Bed Villa in Kikambala,Kikambala,For sale 4 bedrooms excutive bungalow - Kanamai,"KSh 30,000,000"
5 Bed House with En Suite in Lavington,Lavington,Thompson Estate Maisonette,"KSh 43,000,000"
5 Bed House with Garden at Karen,Karen,5 bedrooms maisonette on one acre own compound...,"KSh 85,000,000"
4 Bed House with Swimming Pool in Lavington,Lavington,Majestic 4 Bedroom House For Sale On 0.75 Acre...,Price not communicated
5 Bed House in Lower Kabete,"Lower Kabete, Westlands",5 Bedroom Villa For Sale On Lower Kabete.,"KSh 150,000,000"
4 Bed House with Garden in Runda,"Runda, Westlands",4 bedroom house for sale in Runda,"KSh 105,000,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",5 bedroom own compound villa on sale off links...,"KSh 37,000,000"
3 Bed House with En Suite at Kangundo Road,"Kangundo road, Joska, Kamulu Joska Malaa",3 Bedroom House For Sale On Kangundo road,"KSh 7,900,000"
5 Bed House in Lower Kabete,"Lower Kabete, Westlands",5 Bedroom House On Lower Kabete For Sale.,"KSh 125,000,000"
6 Bed House with En Suite in Karen,Karen,6 Bedroom House for Sale (3KE1618044 ),"KSh 97,000,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Beautiful Home in Runda,"KSh 80,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern Townhouse for Sale in Lavington,"KSh 65,000,000"
3 Bed Villa with En Suite in Kitengela,Kitengela,"3 BEDROOM VILLAS, KITENGELA.","KSh 13,500,000"
4 Bed Villa with En Suite at Mtwapa,"Jumba Ruins, Mtwapa",Twin Villas on sale in Mtwapa Jumba ruins area,"KSh 45,000,000"
4 Bed House with En Suite in Ngong,Ngong,4-BEDROOMS MAISONETTE,"KSh 15,000,000"
4 Bed Townhouse with En Suite at Kangundo Road,"Kangundo Road, Kamulu, Kamulu Joska Malaa",All ensuite 4 bedroom maisonette in a gated est...,"KSh 10,000,000"
3 Bed House with En Suite in Mtwapa,Mtwapa,FOR SALE 3 BEDROOMS BUNGALOW - MTWAPA,"KSh 30,000,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Newly built 5 bedroom house with 2-bed cottage...,"KSh 120,000,000"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Less Crowded RealEstate! Beautiful Four-bedroom...,"KSh 70,000,000"
4 Bed House with En Suite at Kiambu Road,Kiambu Road,"Kiambu Road, House for sale.","KSh 28,000,000"
3 Bed House with En Suite at Kenyatta Road,"187, Kenyatta Road, Thika Road",All ensuite 3 bedroom flat roof Bungalows in a...,"KSh 7,700,000"
3 Bed House with En Suite at Matangi Estate,"MATANGI ESTATE, Ruiru",Nature's Delight: Embrace Tranquil Living in a...,"KSh 5,500,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",4 Bedroom Townhouse for sale in Loresho,"KSh 45,000,000"
5 Bed Villa with En Suite at Karen,"karen, Karen",5 BEDROOMS VILLA FOR SALE IN KAREN,"KSh 82,000,000"
4 Bed Townhouse with En Suite at Kamiti Road,"Kamiti Road, Eastern ByPass, Ruiru",Executive 4 Bedroom Villas For Sale,"KSh 18,500,000"
3 Bed Townhouse with En Suite in Tatu City,"Tatu City, Ruiru",SILVER HILL ESTATE IN TATU CITY,"KSh 39,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Befdroom Townhouse for Sale in Lavington,"KSh 60,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,"4-BEDROOMS VILLA, MATANGI, RUIRU","KSh 10,500,000"
3 Bed Villa with En Suite at La-Marina Estate,"La-Marina Estate, Mtwapa",MTWAPA GATED COMMUNITY VILLA FOR SALE WITH SWIM...,"KSh 36,000,000"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",EXCLUSIVE AND HIGH END MAISONETTES IN A GATED...,"KSh 125,000,000"
5 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",Garden Estate/Ridgeways 5 bedroom house for sal...,"KSh 59,000,000"
2 Bed House at Nhc Madaraka Estate,"NHC Madaraka Estate, Langata",2 BEDROOM APARTMENT FOR SALE AT NHC MADARAKA ES...,"KSh 6,000,000"
4 Bed Townhouse in General Mathenge,"General Mathenge, Westlands",Fabulous 4 bedroom townhouse for sale on Genera...,"KSh 55,000,000"
3 Bed House with En Suite at Juja Farm Road,"Juja farm road, Juja",MODERN FLATROOFS BUNGALOWS,"KSh 8,800,000"
6 Bed Villa with En Suite at Posta Mtwapa,"Posta, Posta Mtwapa, Mtwapa",Villas on sale Mtwapa posta,"KSh 35,000,000"
5 Bed Townhouse in Westlands Area,"Westlands Area, Westlands",5 Bedroom Townhouse For Sale In Westlands.,"KSh 59,500,000"
3 Bed House at Pine City Estate,"Pine City Estate, Mlolongo",Pine City - 3 Bedrooms Master Ensuite - Gated C...,"KSh 11,800,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 Bedroom Bungalow For Sale in Kitengela,"KSh 6,000,000"
5 Bed Villa with En Suite in Rosslyn,"Rosslyn, Westlands",Spectacular 5 bed villa in gated compound for s...,"KSh 87,500,000"
4 Bed Villa with En Suite in Vipingo,Vipingo,Beautiful 4Br Villa for sale in Vipingo Ridge,"KSh 95,000,000"
4 Bed House with En Suite at Kibiko,"Kibiko, Ngong","Pamora Villas, Phase 2-Kibiko Ngong Town.","KSh 18,000,000"
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands","Modern, Private & Well Located 5 Bedroom Townho...","KSh 70,000,000"
4 Bed Townhouse with Garden in Ngong,Ngong,Spacious Modern 4 Bedroom All En-suite plus Fam...,"KSh 27,000,000"
7 Bed House with Swimming Pool in Nyari,"Nyari, Westlands",Property for sale in Nyari sitting on a 1/2 Acr...,"KSh 180,000,000"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",4 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON AT KE...,"KSh 70,000,000"
4 Bed Townhouse at Tigoni,"Tigoni, Limuru",4br Townhouse Tigoni,"KSh 36,000,000"
4 Bed Villa with Swimming Pool in Diani,Diani,4 bedroom Makuti roofed Villa on large plot,"KSh 45,000,000"
2 Bed Villa with En Suite at Diani Beach Road,"Diani Beach Road, Diani","Luxury 2 bedroom Villa with private pool, 300m...",Price not communicated
5 Bed Townhouse with En Suite in Lavington,Lavington,A Homely 5Bedroom plus dsq Maisonette for Sale...,"KSh 40,000,000"
5 Bed House with En Suite at Runda Road,"900, Runda Road, Runda, Westlands",Brand new ! Creme del creme and a piece of Arch...,"KSh 170,000,000"
4 Bed House in Nyari,"Nyari, Westlands",Luxurious 4 Bedroom House For Sale In Nyari,"KSh 210,000,000"
5 Bed House with En Suite at Rongai,"Rongai, Ongata Rongai","5 BEDROOM MAISONETTE FOR SALE IN RONGAI, KAJIAD...","KSh 16,000,000"
5 Bed House with En Suite in Eastern ByPass,"Eastern ByPass, Ruiru",Distress Sale Quick Sale Now a 5 bedrooms house...,"KSh 13,000,000"
4 Bed House with En Suite in Ridgeways,Ridgeways,4 bedroom villa for sale Ridgeways,"KSh 85,000,000"
3 Bed Villa with En Suite in Mtwapa,Mtwapa,Mtwapa Creek 3 Bedroom Villa,"KSh 70,000,000"
7 Bed House with En Suite at Ridgeways,Ridgeways,Ambassadorial Residential Property for sale in...,"KSh 145,000,000"
6 Bed House with Garden at Rimpa,"Rimpa, Ongata Rongai",6 bedrooms maisonette for sale in Kiserian..,"KSh 11,500,000"
3 Bed House with Garden in Langata,Langata,3 bedroom house for sale in Langata,"KSh 28,000,000"
3 Bed House with En Suite at Acacia,"Acacia, Kitengela",3 Bedroom Bungalow For sale in Acacia,"KSh 6,200,000"
